Obesity,,,,ab_c
PC(O-16:0/16:1(9Z)),HMDB0013404,CCCCCCCCCCCCCCCCOC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/CCCCCC,2.33 +/- 0.63uM,0.403
PC(O-16:0/16:1(9Z)),HMDB0013404,CCCCCCCCCCCCCCCCOC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/CCCCCC,2.54 +/- 0.62uM,2.33
PC(O-16:0/18:0),HMDB0013405,[H][C@@](COCCCCCCCCCCCCCCCC)(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCCCC,1.08 +/- 0.33uM,2.54
PC(O-16:0/18:0),HMDB0013405,[H][C@@](COCCCCCCCCCCCCCCCC)(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCCCC,1.25 +/- 0.32uM,1.08
"PC(O-16:0/18:2(9Z,12Z))",HMDB0011151,CCCCCCCCCCCCCCCCOC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/C\C=C/CCCCC,9.08 +/- 2.67uM,1.25
"PC(O-16:0/18:2(9Z,12Z))",HMDB0011151,CCCCCCCCCCCCCCCCOC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/C\C=C/CCCCC,9.56 +/- 2.73uM,9.08
PC(O-16:0/20:0),HMDB0013406,[H][C@@](COCCCCCCCCCCCCCCCC)(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCCCCCC,0.831 +/- 0.449uM,9.56
PC(O-16:0/20:0),HMDB0013406,[H][C@@](COCCCCCCCCCCCCCCCC)(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCCCCCC,0.805 +/- 0.352uM,0.831
"PC(O-16:0/20:4(8Z,11Z,14Z,17Z))",HMDB0013407,[H][C@@](COCCCCCCCCCCCCCCCC)(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCC\C=C/C\C=C/C\C=C/C\C=C/CC,16.4 +/- 5.8uM,0.805
"PC(O-16:0/20:4(8Z,11Z,14Z,17Z))",HMDB0013407,[H][C@@](COCCCCCCCCCCCCCCCC)(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCC\C=C/C\C=C/C\C=C/C\C=C/CC,17.3 +/- 4.9uM,16.4
PC(O-16:0/22:0),HMDB0013408,[H][C@@](COCCCCCCCCCCCCCCCC)(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCCCCCCCC,1.49 +/- 0.56uM,17.3
PC(O-16:0/22:0),HMDB0013408,[H][C@@](COCCCCCCCCCCCCCCCC)(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCCCCCCCC,1.62 +/- 0.51uM,1.49
"PC(O-16:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",HMDB0013409,CCCCCCCCCCCCCCCCOC[C@H](COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC,5.90 +/- 2.15uM,1.62
"PC(O-16:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",HMDB0013409,CCCCCCCCCCCCCCCCOC[C@H](COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC,6.15 +/- 1.84uM,5.9
PC(O-16:1(9Z)/14:1(9Z)),HMDB0013410,CCCCCC\C=C/CCCCCCCCOC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/CCCC,0.134 +/- 0.044uM,6.15
PC(O-16:1(9Z)/14:1(9Z)),HMDB0013410,CCCCCC\C=C/CCCCCCCCOC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/CCCC,0.134 +/- 0.047uM,0.134
PC(O-16:1(9Z)/16:1(9Z)),HMDB0013411,CCCCCC\C=C/CCCCCCCCOC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/CCCCCC,0.595 +/- 0.175uM,0.134
PC(O-16:1(9Z)/16:1(9Z)),HMDB0013411,CCCCCC\C=C/CCCCCCCCOC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/CCCCCC,0.624 +/- 0.170uM,0.595
PC(O-16:1(9Z)/18:0),HMDB0013412,CCCCCCCCCCCCCCCCCC(=O)O[C@]([H])(COCCCCCCCC\C=C/CCCCCC)COP([O-])(=O)OCC[N+](C)(C)C,7.73 +/- 2.13uM,0.624
PC(O-16:1(9Z)/18:0),HMDB0013412,CCCCCCCCCCCCCCCCCC(=O)O[C@]([H])(COCCCCCCCC\C=C/CCCCCC)COP([O-])(=O)OCC[N+](C)(C)C,8.79 +/- 1.89uM,7.73
"PC(O-16:1(9Z)/18:2(9Z,12Z))",HMDB0013413,CCCCCC\C=C/CCCCCCCCOC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/C\C=C/CCCCC,6.83 +/- 1.99uM,8.79
"PC(O-16:1(9Z)/18:2(9Z,12Z))",HMDB0013413,CCCCCC\C=C/CCCCCCCCOC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/C\C=C/CCCCC,7.08 +/- 2.06uM,6.83
PC(O-16:1(9Z)/20:0),HMDB0013414,CCCCCCCCCCCCCCCCCCCC(=O)O[C@]([H])(COCCCCCCCC\C=C/CCCCCC)COP([O-])(=O)OCC[N+](C)(C)C,5.48 +/- 1.67uM,7.08
PC(O-16:1(9Z)/20:0),HMDB0013414,CCCCCCCCCCCCCCCCCCCC(=O)O[C@]([H])(COCCCCCCCC\C=C/CCCCCC)COP([O-])(=O)OCC[N+](C)(C)C,6.18 +/- 1.80uM,5.48
"PC(O-16:1(9Z)/20:4(8Z,11Z,14Z,17Z))",HMDB0013415,CCCCCC\C=C/CCCCCCCCOC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC,9.81 +/- 3.42uM,6.18
"PC(O-16:1(9Z)/20:4(8Z,11Z,14Z,17Z))",HMDB0013415,CCCCCC\C=C/CCCCCCCCOC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC,10.45 +/- 2.70uM,9.81
PC(O-18:0/18:0),HMDB0013417,[H][C@@](COCCCCCCCCCCCCCCCCCC)(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCCCC,0.831 +/- 0.449uM,10.45
PC(O-18:0/18:0),HMDB0013417,[H][C@@](COCCCCCCCCCCCCCCCCCC)(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCCCC,0.805 +/- 0.352uM,0.831
"PC(O-18:0/18:2(9Z,12Z))",HMDB0013418,CCCCCCCCCCCCCCCCCCOC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/C\C=C/CCCCC,9.53 +/- 2.43uM,0.805
"PC(O-18:0/18:2(9Z,12Z))",HMDB0013418,CCCCCCCCCCCCCCCCCCOC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/C\C=C/CCCCC,10.96 +/- 2.50uM,9.53
PC(O-18:0/20:0),HMDB0013419,[H][C@@](COCCCCCCCCCCCCCCCCCC)(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCCCCCC,1.49 +/- 0.56uM,10.96
PC(O-18:0/20:0),HMDB0013419,[H][C@@](COCCCCCCCCCCCCCCCCCC)(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCCCCCC,1.62 +/- 0.51uM,1.49
"PC(O-18:0/20:4(8Z,11Z,14Z,17Z))",HMDB0013420,[H][C@@](COCCCCCCCCCCCCCCCCCC)(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC,11.5 +/- 3.3uM,1.62
"PC(O-18:0/20:4(8Z,11Z,14Z,17Z))",HMDB0013420,[H][C@@](COCCCCCCCCCCCCCCCCCC)(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC,12.6 +/- 2.6uM,11.5
"PC(O-18:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",HMDB0013422,CCCCCCCCCCCCCCCCCCOC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC,3.44 +/- 1.11uM,12.6
"PC(O-18:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",HMDB0013422,CCCCCCCCCCCCCCCCCCOC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC,3.74 +/- 0.95uM,3.44
PC(O-18:1(11Z)/16:0),HMDB0013424,CCCCCCCCCCCCCCCC(=O)O[C@]([H])(COCCCCCCCCCC\C=C/CCCCCC)COP([O-])(=O)OCC[N+](C)(C)C,7.73 +/- 2.13uM,3.74
PC(O-18:1(11Z)/16:0),HMDB0013424,CCCCCCCCCCCCCCCC(=O)O[C@]([H])(COCCCCCCCCCC\C=C/CCCCCC)COP([O-])(=O)OCC[N+](C)(C)C,8.79 +/- 1.89uM,7.73
"PC(O-18:1(11Z)/18:2(9Z,12Z))",HMDB0013425,CCCCCC\C=C/CCCCCCCCCCOC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/C\C=C/CCCCC,6.37 +/- 1.94uM,8.79
"PC(O-18:1(11Z)/18:2(9Z,12Z))",HMDB0013425,CCCCCC\C=C/CCCCCCCCCCOC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/C\C=C/CCCCC,6.85 +/- 1.77uM,6.37
PC(O-18:1(9Z)/16:0),HMDB0013426,CCCCCCCCCCCCCCCC(=O)O[C@]([H])(COCCCCCCCC\C=C/CCCCCCCC)COP([O-])(=O)OCC[N+](C)(C)C,7.73 +/- 2.13uM,6.85
PC(O-18:1(9Z)/16:0),HMDB0013426,CCCCCCCCCCCCCCCC(=O)O[C@]([H])(COCCCCCCCC\C=C/CCCCCCCC)COP([O-])(=O)OCC[N+](C)(C)C,8.79 +/- 1.89uM,7.73
PC(O-18:1(9Z)/18:0),HMDB0013427,CCCCCCCCCCCCCCCCCC(=O)O[C@]([H])(COCCCCCCCC\C=C/CCCCCCCC)COP([O-])(=O)OCC[N+](C)(C)C,5.48 +/- 1.67uM,8.79
PC(O-18:1(9Z)/18:0),HMDB0013427,CCCCCCCCCCCCCCCCCC(=O)O[C@]([H])(COCCCCCCCC\C=C/CCCCCCCC)COP([O-])(=O)OCC[N+](C)(C)C,6.18 +/- 1.80uM,5.48
PC(O-18:1(9Z)/18:1(11Z)),HMDB0013428,CCCCCCCC\C=C/CCCCCCCCOC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCC\C=C/CCCCCC,9.53 +/- 2.43uM,6.18
PC(O-18:1(9Z)/18:1(11Z)),HMDB0013428,CCCCCCCC\C=C/CCCCCCCCOC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCC\C=C/CCCCCC,10.96 +/- 2.50uM,9.53
"PC(O-18:1(9Z)/18:2(9Z,12Z))",HMDB0013429,CCCCCCCC\C=C/CCCCCCCCOC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/C\C=C/CCCCC,6.37 +/- 1.94uM,10.96
"PC(O-18:1(9Z)/18:2(9Z,12Z))",HMDB0013429,CCCCCCCC\C=C/CCCCCCCCOC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/C\C=C/CCCCC,6.85 +/- 1.77uM,6.37
PC(O-18:1(9Z)/20:1(11Z)),HMDB0013431,CCCCCCCC\C=C/CCCCCCCCCC(=O)O[C@]([H])(COCCCCCCCC\C=C/CCCCCCCC)COP([O-])(=O)OCC[N+](C)(C)C,1.43 +/- 0.40uM,6.85
PC(O-18:1(9Z)/20:1(11Z)),HMDB0013431,CCCCCCCC\C=C/CCCCCCCCCC(=O)O[C@]([H])(COCCCCCCCC\C=C/CCCCCCCC)COP([O-])(=O)OCC[N+](C)(C)C,1.67 +/- 0.52uM,1.43
"PC(O-18:1(9Z)/20:4(8Z,11Z,14Z,17Z))",HMDB0013432,[H][C@@](COCCCCCCCC\C=C/CCCCCCCC)(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC,14.9 +/- 4.8uM,1.67
"PC(O-18:1(9Z)/20:4(8Z,11Z,14Z,17Z))",HMDB0013432,[H][C@@](COCCCCCCCC\C=C/CCCCCCCC)(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC,15.9 +/- 3.6uM,14.9
PC(O-18:1(9Z)/22:0),HMDB0013433,CCCCCCCCCCCCCCCCCCCCCC(=O)O[C@]([H])(COCCCCCCCC\C=C/CCCCCCCC)COP([O-])(=O)OCC[N+](C)(C)C,0.894 +/- 0.268uM,15.9
PC(O-18:1(9Z)/22:0),HMDB0013433,CCCCCCCCCCCCCCCCCCCCCC(=O)O[C@]([H])(COCCCCCCCC\C=C/CCCCCCCC)COP([O-])(=O)OCC[N+](C)(C)C,1.010 +/- 0.277uM,0.894
PC(O-18:1(9Z)/24:0),HMDB0013434,CCCCCCCCCCCCCCCCCCCCCCCC(=O)O[C@]([H])(COCCCCCCCC\C=C/CCCCCCCC)COP([O-])(=O)OCC[N+](C)(C)C,0.303 +/- 0.096uM,1.01
PC(O-18:1(9Z)/24:0),HMDB0013434,CCCCCCCCCCCCCCCCCCCCCCCC(=O)O[C@]([H])(COCCCCCCCC\C=C/CCCCCCCC)COP([O-])(=O)OCC[N+](C)(C)C,0.347 +/- 0.131uM,0.303
"PC(O-18:2(9Z,12Z)/18:2(9Z,12Z))",HMDB0013435,CCCCC\C=C/C\C=C/CCCCCCCCOC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/C\C=C/CCCCC,16.4 +/- 5.8uM,0.347
"PC(O-18:2(9Z,12Z)/18:2(9Z,12Z))",HMDB0013435,CCCCC\C=C/C\C=C/CCCCCCCCOC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/C\C=C/CCCCC,17.3 +/- 4.9uM,16.4
"PC(O-18:2(9Z,12Z)/20:0)",HMDB0013436,CCCCCCCCCCCCCCCCCCCC(=O)O[C@]([H])(COCCCCCCCC\C=C/C\C=C/CCCCC)COP([O-])(=O)OCC[N+](C)(C)C,1.43 +/- 0.40uM,17.3
"PC(O-18:2(9Z,12Z)/20:0)",HMDB0013436,CCCCCCCCCCCCCCCCCCCC(=O)O[C@]([H])(COCCCCCCCC\C=C/C\C=C/CCCCC)COP([O-])(=O)OCC[N+](C)(C)C,1.67 +/- 0.52uM,1.43
"PC(O-18:2(9Z,12Z)/22:0)",HMDB0013437,CCCCCCCCCCCCCCCCCCCCCC(=O)O[C@]([H])(COCCCCCCCC\C=C/C\C=C/CCCCC)COP([O-])(=O)OCC[N+](C)(C)C,1.45 +/- 0.45uM,1.67
"PC(O-18:2(9Z,12Z)/22:0)",HMDB0013437,CCCCCCCCCCCCCCCCCCCCCC(=O)O[C@]([H])(COCCCCCCCC\C=C/C\C=C/CCCCC)COP([O-])(=O)OCC[N+](C)(C)C,1.50 +/- 0.42uM,1.45
"PC(O-18:2(9Z,12Z)/24:0)",HMDB0013438,CCCCCCCCCCCCCCCCCCCCCCCC(=O)O[C@]([H])(COCCCCCCCC\C=C/C\C=C/CCCCC)COP([O-])(=O)OCC[N+](C)(C)C,0.507 +/- 0.157uM,1.5
"PC(O-18:2(9Z,12Z)/24:0)",HMDB0013438,CCCCCCCCCCCCCCCCCCCCCCCC(=O)O[C@]([H])(COCCCCCCCC\C=C/C\C=C/CCCCC)COP([O-])(=O)OCC[N+](C)(C)C,0.568 +/- 0.170uM,0.507
"PC(O-20:0/18:3(6Z,9Z,12Z))",HMDB0013439,CCCCCCCCCCCCCCCCCCCCOC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCC\C=C/C\C=C/C\C=C/CCCCC,3.08 +/- 0.88uM,0.568
"PC(O-20:0/18:3(6Z,9Z,12Z))",HMDB0013439,CCCCCCCCCCCCCCCCCCCCOC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCC\C=C/C\C=C/C\C=C/CCCCC,3.51 +/- 0.84uM,3.08
"PC(O-20:0/18:3(9Z,12Z,15Z))",HMDB0013440,CCCCCCCCCCCCCCCCCCCCOC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/C\C=C/C\C=C/CC,3.08 +/- 0.88uM,3.51
"PC(O-20:0/18:3(9Z,12Z,15Z))",HMDB0013440,CCCCCCCCCCCCCCCCCCCCOC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/C\C=C/C\C=C/CC,3.51 +/- 0.84uM,3.08
"PC(O-20:0/20:4(8Z,11Z,14Z,17Z))",HMDB0013442,CCCCCCCCCCCCCCCCCCCCOC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC,2.09 +/- 0.59uM,3.51
"PC(O-20:0/20:4(8Z,11Z,14Z,17Z))",HMDB0013442,CCCCCCCCCCCCCCCCCCCCOC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC,2.23 +/- 0.48uM,2.09
"PC(O-20:1(11Z)/20:4(8Z,11Z,14Z,17Z))",HMDB0013444,CCCCCCCC\C=C/CCCCCCCCCCOC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC,2.84 +/- 0.87uM,2.23
"PC(O-20:1(11Z)/20:4(8Z,11Z,14Z,17Z))",HMDB0013444,CCCCCCCC\C=C/CCCCCCCCCCOC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC,3.02 +/- 0.65uM,2.84
"PC(O-22:0/18:3(6Z,9Z,12Z))",HMDB0013445,CCCCCCCCCCCCCCCCCCCCCCOC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCC\C=C/C\C=C/C\C=C/CCCCC,0.987 +/- 0.304uM,3.02
"PC(O-22:0/18:3(6Z,9Z,12Z))",HMDB0013445,CCCCCCCCCCCCCCCCCCCCCCOC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCC\C=C/C\C=C/C\C=C/CCCCC,1.021 +/- 0.277uM,0.987
"PC(O-22:0/18:3(9Z,12Z,15Z))",HMDB0013446,CCCCCCCCCCCCCCCCCCCCCCOC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/C\C=C/C\C=C/CC,0.987 +/- 0.304uM,1.021
"PC(O-22:0/18:3(9Z,12Z,15Z))",HMDB0013446,CCCCCCCCCCCCCCCCCCCCCCOC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/C\C=C/C\C=C/CC,1.021 +/- 0.277uM,0.987
PC(O-22:0/20:1(11Z)),HMDB0013447,CCCCCCCCCCCCCCCCCCCCCCOC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCC\C=C/CCCCCCCC,0.303 +/- 0.096uM,1.021
PC(O-22:0/20:1(11Z)),HMDB0013447,CCCCCCCCCCCCCCCCCCCCCCOC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCC\C=C/CCCCCCCC,0.347 +/- 0.131uM,0.303
"PC(O-22:0/20:4(8Z,11Z,14Z,17Z))",HMDB0013448,CCCCCCCCCCCCCCCCCCCCCCOC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC,0.806 +/- 0.262uM,0.347
"PC(O-22:0/20:4(8Z,11Z,14Z,17Z))",HMDB0013448,CCCCCCCCCCCCCCCCCCCCCCOC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC,0.843 +/- 0.251uM,0.806
"PC(O-22:0/22:3(10Z,13Z,16Z))",HMDB0013449,CCCCCCCCCCCCCCCCCCCCCCOC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCC\C=C/C\C=C/C\C=C/CCCCC,0.101 +/- 0.039uM,0.843
"PC(O-22:0/22:3(10Z,13Z,16Z))",HMDB0013449,CCCCCCCCCCCCCCCCCCCCCCOC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCC\C=C/C\C=C/C\C=C/CCCCC,0.101 +/- 0.037uM,0.101
"PC(O-22:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",HMDB0013450,CCCCCCCCCCCCCCCCCCCCCCOC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC,1.05 +/- 0.37uM,0.101
"PC(O-22:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",HMDB0013450,CCCCCCCCCCCCCCCCCCCCCCOC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC,1.13 +/- 0.32uM,1.05
"PC(O-22:1(13Z)/20:4(8Z,11Z,14Z,17Z))",HMDB0013451,CCCCCCCC\C=C/CCCCCCCCCCCCOC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC,1.96 +/- 0.59uM,1.13
"PC(O-22:1(13Z)/20:4(8Z,11Z,14Z,17Z))",HMDB0013451,CCCCCCCC\C=C/CCCCCCCCCCCCOC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC,2.04 +/- 0.46uM,1.96
"PC(O-22:1(13Z)/22:2(13Z,16Z))",HMDB0013452,CCCCCCCC\C=C/CCCCCCCCCCCCOC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCC\C=C/C\C=C/CCCCC,0.101 +/- 0.039uM,2.04
"PC(O-22:1(13Z)/22:2(13Z,16Z))",HMDB0013452,CCCCCCCC\C=C/CCCCCCCCCCCCOC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCC\C=C/C\C=C/CCCCC,0.101 +/- 0.037uM,0.101
"PC(O-22:1(13Z)/22:3(10Z,13Z,16Z))",HMDB0013453,CCCCCCCC\C=C/CCCCCCCCCCCCOC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCC\C=C/C\C=C/C\C=C/CCCCC,0.354 +/- 0.114uM,0.101
"PC(O-22:1(13Z)/22:3(10Z,13Z,16Z))",HMDB0013453,CCCCCCCC\C=C/CCCCCCCCCCCCOC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCC\C=C/C\C=C/C\C=C/CCCCC,0.385 +/- 0.110uM,0.354
"PC(O-22:2(13Z,16Z)/20:2(11Z,14Z))",HMDB0013454,CCCCC\C=C/C\C=C/CCCCCCCCCCCCOC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCC\C=C/C\C=C/CCCCC,0.806 +/- 0.262uM,0.385
"PC(O-22:2(13Z,16Z)/20:2(11Z,14Z))",HMDB0013454,CCCCC\C=C/C\C=C/CCCCCCCCCCCCOC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCC\C=C/C\C=C/CCCCC,0.843 +/- 0.251uM,0.806
"PC(O-22:2(13Z,16Z)/22:2(13Z,16Z))",HMDB0013455,CCCCC\C=C/C\C=C/CCCCCCCCCCCCOC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCC\C=C/C\C=C/CCCCC,0.354 +/- 0.114uM,0.843
"PC(O-22:2(13Z,16Z)/22:2(13Z,16Z))",HMDB0013455,CCCCC\C=C/C\C=C/CCCCCCCCCCCCOC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCC\C=C/C\C=C/CCCCC,0.385 +/- 0.110uM,0.354
"PC(O-22:2(13Z,16Z)/22:3(10Z,13Z,16Z))",HMDB0013456,CCCCC\C=C/C\C=C/CCCCCCCCCCCCOC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCC\C=C/C\C=C/C\C=C/CCCCC,1.66 +/- 0.59uM,0.385
"PC(O-22:2(13Z,16Z)/22:3(10Z,13Z,16Z))",HMDB0013456,CCCCC\C=C/C\C=C/CCCCCCCCCCCCOC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCC\C=C/C\C=C/C\C=C/CCCCC,1.76 +/- 0.46uM,1.66
"PC(O-22:3(10Z,13Z,16Z)/22:3(10Z,13Z,16Z))",HMDB0013457,CCCCC\C=C/C\C=C/C\C=C/CCCCCCCCCOC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCC\C=C/C\C=C/C\C=C/CCCCC,1.05 +/- 0.37uM,1.76
"PC(O-22:3(10Z,13Z,16Z)/22:3(10Z,13Z,16Z))",HMDB0013457,CCCCC\C=C/C\C=C/C\C=C/CCCCCCCCCOC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCC\C=C/C\C=C/C\C=C/CCCCC,1.13 +/- 0.32uM,1.05
"PC(O-24:0/18:3(6Z,9Z,12Z))",HMDB0013458,CCCCCCCCCCCCCCCCCCCCCCCCOC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCC\C=C/C\C=C/C\C=C/CCCCC,0.579 +/- 0.170uM,1.13
"PC(O-24:0/18:3(6Z,9Z,12Z))",HMDB0013458,CCCCCCCCCCCCCCCCCCCCCCCCOC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCC\C=C/C\C=C/C\C=C/CCCCC,0.630 +/- 0.185uM,0.579
"PC(O-24:0/18:3(9Z,12Z,15Z))",HMDB0013459,CCCCCCCCCCCCCCCCCCCCCCCCOC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/C\C=C/C\C=C/CC,0.579 +/- 0.170uM,0.63
